what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_26",1314674353217
java.vm.info,sysinfo,,,"mixed mode",1314674353217
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314674353217
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314674353217
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314674353217
java.vm.specification.version,sysinfo,,,"1.0",1314674353217
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314674353217
java.vm.version,sysinfo,,,"20.1-b02",1314674353217
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1314674365977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674367007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674368380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674368427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674373387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674373762
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674380017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674382591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674386273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314674386289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674392809
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1314674407941
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1314674407957
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1314674408690
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1314674408690
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1314674408690
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1314674408893
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1314674408924
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1314674408924
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1314674409033
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1314674409033
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1314674409143
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1314674409143
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1314674409174
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1314674409299
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1314674409377
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1314674409455
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1314674409486
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1314674409533
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1314674409564
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1314674409673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674410235
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1314674410250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314674410250
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1314674410266
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1314674410297
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1314674412762
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1314674412762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674415461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674422028
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1314674422761
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1314674422761
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1314674422761
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1314674422761
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1314674422855
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1314674422855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674424961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674436037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314674436053
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1314674454617
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1314674454617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674454726
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1314674458657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674459375
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1314674459375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314674459375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674463852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674512727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674515098
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1314674530636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674530682
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314674530682
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1314674530776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674535659
started,bundle,org.eclipse.pde,3.6.100.v201106131736,"org.eclipse.pde",1314674556079
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1314674556188
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1314674556251
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1314674567732
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1314674567748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674568653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314674568653
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1314674571118
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1314674574519
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1314674574690
started,bundle,org.eclipse.pde.build,3.7.0.v20110512-1320,"org.eclipse.pde.build",1314674574768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674591445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674600963
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314674600978
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1314674606001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674635860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674646577
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314674646655
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1314674647045
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1314674647045
